EVENT NAME: Jay's BBQ
EVENT DESCRIPTION: Bring your beers, booze to my crib cheers!
EVENT TYPE: EVENT

EVENT NAME: Pipo's Python Scraping Seminar
EVENT DESCRIPTION: Bring your laptops, if you want to code along, please install Anaconda Spyder on your machine!, Cheers!
EVENT TYPE: EVENT


EVENT NAME: math
EVENT DESCRIPTION: math
EVENT TYPE: Pets

EVENT NAME: math
EVENT DESCRIPTION: math
EVENT TYPE: Pets

EVENT NAME: math
EVENT DESCRIPTION: math
EVENT TYPE: Pets

EVENT NAME: web
EVENT DESCRIPTION: web
EVENT TYPE: Pets

EVENT NAME: web
EVENT DESCRIPTION: web
EVENT TYPE: Pets

EVENT NAME: web
EVENT DESCRIPTION: web
EVENT TYPE: Pets

EVENT NAME: web
EVENT DESCRIPTION: web
EVENT TYPE: Pets

